"排名","代號","名稱","股價日期","成交","市值(億)","產業別","相關產業","漲跌幅","振幅(%)","成交額(百萬)","02/02成交量(張)","02/02成交量週轉率(%)"
"741",="2419","仲琦","02/02","30.45","97.8","通信網路業","通信網路–網路設備","+1.5","5.67","127","4,223","1.31"
"742",="2369","菱生","02/02","25.7","97.7","半導體業","半導體–IC封裝測試,半導體–IC製造","-5.86","4.21","231","8,948","2.35"
"743",="6462","神盾","02/02","107","97.6","半導體業","半導體–IC設計","-5.73","6.61","177","1,618","1.77"
"744",="3228","金麗科","02/02","136","97.3","半導體業","半導體–IC設計","-4.23","6.69","90.6","668","0.93"
"745",="6679","鈺太","02/02","176.5","97","半導體業","半導體–IC設計","-4.08","4.08","42.5","238","0.43"
"746",="8404","百和興業-KY","02/02","23","96.6","其他業","其他","-0.43","1.73","9.72","424","0.1"
"747",="5288","豐祥-KY","02/02","138.5","96.6","電機機械","電機機械","-0.72","3.58","33.5","243","0.35"
"748",="6021","美好證","02/02","30.9","96.6","證券業","金融","-2.22","3.8","16.9","549","0.18"
"749",="6655","科定","02/02","119.5","96.3","其他業","其他","-0.83","0.41","0.84","7","0.01"
"750",="3622","洋華","02/02","63.5","96.1","光電業","面板業","-0.47","1.57","36.6","582","0.38"
"751",="5531","鄉林","02/02","8.9","95.9","建材營造業","建材營造","-1.11","1.22","4.11","461","0.04"
"752",="4764","雙鍵","02/02","112","95.8","化學工業","化工","-4.27","6.84","174","1,557","1.82"
"753","00980A","主動野村臺灣優選","02/02","16.04","95.7","主動式國內成分股ETF","主動式國內成分股ETF","-1.6","1.41","231","14,403","2.41"
"754",="4571","鈞興-KY","02/02","180.5","95.7","電機機械","電機機械","-3.48","5.35","142","785","1.48"
"755",="6763","綠界科技*","02/02","51.9","95.5","數位雲端","櫃電子商務","-2.08","2.26","25.8","494","0.27"
"756",="4162","智擎","02/02","65.5","95.4","生技醫療業","醫藥產業","-1.5","2.26","36","549","0.38"
"757",="3689","湧德","02/02","107.5","95.3","電子零組件業","電子零組件–連接器","-1.38","4.59","233","2,165","2.44"
"758",="1582","信錦","02/02","66","95.2","電子零組件業","電子零組件","-2.94","2.94","71.7","1,079","0.75"
"759","00844B","新光15年IG金融債","02/02","32.53","95.2","債券ETF","債券ETF","+0.74","0.03","3.45","106","0.04"
"760",="6464","台數科","02/02","73.9","95.2","其他業","其他","-1.47","1.6","2.43","33","0.03"
"761",="6830","汎銓","02/02","183.5","95","其他電子業","半導體–IC製造","+3.97","5.95","445","2,437","4.71"
"762",="3015","全漢","02/02","50.7","94.9","電子零組件業","電子零組件–電源供應器","-1.74","1.94","20.7","408","0.22"
"763",="2102","泰豐","02/02","20.05","94.9","橡膠工業","橡膠","-1.23","2.22","10.7","532","0.11"
"764",="2534","宏盛","02/02","19.9","94.4","建材營造業","建材營造","-0.75","2.24","12.3","622","0.13"
"765",="4157","太景*-KY","02/02","13.25","94.3","生技醫療業","醫藥產業","-2.57","4.41","34.8","2,601","0.37"
"766",="1203","味王","02/02","39.25","94.2","食品工業","食品生產–食品加工,食品生產–速食麵,食品生產–調味料,飲料類–酒類,飲料類–飲料生產","-0.25","1.14","0.51","13","0.01"
"767","00988A","主動統一全球創新","02/02","11.38","94.2","主動式國外成分股ETF","主動式國外成分股ETF","-3.97","3.38","391","34,166","4.13"
"768",="8213","志超","02/02","34.7","94.1","電子零組件業","印刷電路板 (PCB)","-1.98","1.69","17.4","501","0.18"
"769",="4931","新盛力","02/02","143.5","94.1","電腦及週邊設備業","電腦及週邊設備","-2.05","7.17","966","6,542","9.98"
"770",="2332","友訊","02/02","15.6","93.9","通信網路業","通信網路–無線網路,通信網路–網路設備","-1.27","2.22","28.5","1,833","0.3"
"771",="7744","崴寶","02/02","293","93.8","電子零組件業","興電子零組件","-3.3","5.12","53.2","183","0.57"
"772",="8374","羅昇","02/02","83.5","93.7","電機機械","電機機械","-5.54","7.13","75.2","888","0.79"
"773",="2406","國碩","02/02","26.7","93.7","光電業","光電","-4.13","6.46","315","11,587","3.3"
"774",="1615","大山","02/02","47.6","93.6","電器電纜","電器電纜","-3.45","3.96","10.4","216","0.11"
"775",="6862","三集瑞-KY","02/02","187","93.5","電子零組件業","被動元件","-6.5","6","169","908","1.82"
"776",="7610","聯友金屬-創","02/02","191","92.8","綠能環保","戰略新板","-7.28","5.1","246","1,275","2.62"
"777",="3402","漢科","02/02","127","92.8","其他電子業","其他電子","-3.42","2.66","78.8","617","0.84"
"778",="9942","茂順","02/02","111.5","92.7","其他業","其他","-1.76","2.64","13","117","0.14"
"779","00755B","群益投資級公用債","02/02","33.61","92.5","債券ETF","債券ETF","+1.17","0.93","6.07","181","0.07"
"780",="8467","波力-KY","02/02","183.5","92.4","運動休閒","其他","-0.27","5.16","13.2","71","0.14"
