"排名","代號","名稱","股價日期","成交","市值(億)","產業別","相關產業","漲跌幅","振幅(%)","成交額(百萬)","02/02成交量(張)","02/02成交量週轉率(%)"
"1",="2330","台積電","02/02","1765","457,709","半導體業","半導體–IC製造,半導體–晶圓代工","-0.56","1.13","49,152","28,034","0.11"
"2",="2308","台達電","02/02","1175","30,521","電子零組件業","電子零組件–電源供應器","-3.69","3.28","14,579","12,400","0.48"
"3",="2317","鴻海","02/02","214.5","29,953","其他電子業","3C周邊產品–印表機,電子零組件–連接器,電腦系統–伺服器,電腦系統–筆記型電腦","-2.72","2.95","13,178","61,168","0.44"
"4",="2454","聯發科","02/02","1705","27,347","半導體業","半導體–IC設計","-3.12","3.12","14,960","8,774","0.55"
"5",="3711","日月光投控","02/02","292","12,913","半導體業","半導體–IC封裝測試,半導體–IC製造","-1.68","3.2","3,958","13,548","0.31"
"6",="2881","富邦金","02/02","90.5","12,677","金控業","金融保險","-0.44","1.98","1,948","21,588","0.15"
"7",="0050","元大台灣50","02/02","71.5","11,397","國內成分股ETF","國內成分股ETF","-1.52","1.17","14,984","210,418","1.32"
"8",="2882","國泰金","02/02","74.3","10,899","金控業","金融保險","-1.46","3.45","2,132","28,876","0.2"
"9",="2382","廣達","02/02","273","10,545","電腦及週邊設備業","電腦系統–伺服器,電腦系統–筆記型電腦","-2.5","2.86","4,495","16,398","0.42"
"10",="2412","中華電","02/02","133","10,317","通信網路業","通信網路–電信/數據服務","-0.37","0.75","1,257","9,434","0.12"
"11",="2891","中信金","02/02","50.9","10,016","金控業","金融保險","0","1.77","1,324","26,102","0.13"
"12",="2408","南亞科","02/02","294","9,110","半導體業","半導體–DRAM製造,半導體–IC設計","-9.95","4.9","29,112","96,975","3.13"
"13",="2303","聯電","02/02","60.7","7,641","半導體業","半導體–IC製造,半導體–晶圓代工","-2.72","5.77","11,555","191,910","1.52"
"14",="7769","鴻勁","02/02","3750","6,747","半導體業","興半導體","0","3.6","3,099","814","0.45"
"15",="6669","緯穎","02/02","3605","6,700","電腦及週邊設備業","電腦系統–伺服器","+0.84","2.8","3,536","979","0.53"
"16",="2345","智邦","02/02","1140","6,397","通信網路業","通信網路–無線網路,通信網路–網路設備","+2.24","5.38","4,842","4,250","0.76"
"17",="2383","台光電","02/02","1785","6,190","電子零組件業","印刷電路板 (PCB)","+2.29","5.44","6,526","3,676","1.06"
"18",="3017","奇鋐","02/02","1490","5,784","電腦及週邊設備業","3C周邊產品","+2.05","6.16","9,577","6,489","1.67"
"19",="2886","兆豐金","02/02","38.8","5,755","金控業","金融保險","0","1.68","749","19,385","0.13"
"20",="3037","欣興","02/02","365","5,751","電子零組件業","印刷電路板 (PCB)","-3.57","5.81","32,030","87,275","5.54"
"21",="2885","元大金","02/02","42.2","5,626","金控業","金融保險","-1.97","2.67","928","21,892","0.16"
"22",="1303","南亞","02/02","70.6","5,599","塑膠工業","塑膠","-6.98","7.11","4,830","67,400","0.85"
"23",="2887","台新新光金","02/02","22.35","5,558","金控業","金融保險","-1.54","2.2","1,425","63,825","0.26"
"24",="2884","玉山金","02/02","33.3","5,386","金控業","金融保險","-0.3","2.25","969","29,324","0.18"
"25",="2327","國巨*","02/02","258","5,348","電子零組件業","被動元件","-7.03","5.23","10,679","40,944","1.98"
"26",="2344","華邦電","02/02","116","5,220","半導體業","半導體–DRAM製造,半導體–IC設計","-9.73","5.06","19,156","162,617","3.61"
"27",="0056","元大高股息","02/02","37.15","5,206","國內成分股ETF","國內成分股ETF","-1.14","0.88","3,133","84,345","0.6"
"28",="6505","台塑化","02/02","48.75","4,644","油電燃氣業","油電燃氣","-8.71","9.74","717","14,342","0.15"
"29",="8299","群聯","02/02","2145","4,626","半導體業","半導體–IC設計,電子零組件–Flash模組","-9.87","4.83","16,317","7,455","3.46"
"30",="2880","華南金","02/02","32.75","4,558","金控業","金融保險","-1.06","3.32","398","12,179","0.09"
"31",="00878","國泰永續高股息","02/02","22.47","4,516","國內成分股ETF","國內成分股ETF","-1.49","1.45","2,379","105,971","0.53"
"32",="3653","健策","02/02","2955","4,223","電子零組件業","半導體–導線架","+4.05","7.75","5,213","1,790","1.25"
"33",="2890","永豐金","02/02","28.6","4,148","金控業","金融保險","0","2.27","549","19,265","0.13"
"34",="2360","致茂","02/02","971","4,129","其他電子業","其他電子","-0.92","3.47","1,905","1,953","0.46"
"35",="2892","第一金","02/02","28.65","4,120","金控業","金融保險","-0.52","2.08","514","17,990","0.13"
"36",="3231","緯創","02/02","128","4,071","電腦及週邊設備業","電腦系統–伺服器,電腦系統–筆記型電腦","-1.92","2.3","3,669","28,607","0.9"
"37",="1216","統一","02/02","71.6","4,068","食品工業","食品生產–肉品加工,食品生產–食品加工,食品生產–速食麵,食品生產–調味料,食品生產–麵包、糕餅、零食,食品原料–小麥、麵粉,食品原料–玉米,食品原料–食用油,食品原料–黃豆,航運–倉儲物流,飲料類–乳品,飲料類–咖啡,飲料類–飲料生產","-0.14","1.39","507","7,078","0.12"
"38",="00919","群益台灣精選高息","02/02","23.08","3,995","國內成分股ETF","國內成分股ETF","-1.54","1.49","2,778","120,410","0.7"
"39",="2603","長榮","02/02","184","3,984","航運業","航運–海運,航運–貨櫃海運,航運–貨櫃場","-1.08","1.61","1,520","8,253","0.38"
"40",="3045","台灣大","02/02","105","3,909","通信網路業","通信網路–電信/數據服務","-0.47","0.95","607","5,765","0.15"
"41",="2301","光寶科","02/02","160.5","3,718","電腦及週邊設備業","3C周邊產品–光碟機,通信網路–光通訊,通信網路–無線網路,電子零組件–電源供應器","-2.13","3.66","2,832","17,677","0.76"
"42",="2357","華碩","02/02","499.5","3,710","電腦及週邊設備業","電子零組件–主機板,電腦系統–筆記型電腦,手機相關","+0.71","3.83","2,173","4,346","0.59"
"43",="5880","合庫金","02/02","23.35","3,661","金控業","金融保險","-0.85","1.27","466","19,925","0.13"
"44",="3443","創意","02/02","2685","3,598","半導體業","半導體–IC設計","+2.48","6.68","13,415","5,025","3.75"
"45",="2449","京元電子","02/02","285","3,485","半導體業","半導體–IC封裝測試,半導體–IC製造","-3.72","4.56","4,709","16,491","1.35"
"46",="2368","金像電","02/02","706","3,472","電子零組件業","印刷電路板 (PCB)","+0.71","5.85","6,733","9,517","1.93"
"47",="5274","信驊","02/02","9040","3,417","半導體業","半導體–IC設計","+1.8","4.22","2,369","265","0.7"
"48",="2002","中鋼","02/02","21.1","3,320","鋼鐵工業","鋼鐵","+1.69","3.86","4,060","191,558","1.22"
"49",="4904","遠傳","02/02","90.2","3,254","通信網路業","通信網路–電信/數據服務","+1.58","1.91","685","7,608","0.21"
"50",="3008","大立光","02/02","2355","3,143","光電業","消費性電子產品–數位相機","-2.28","2.9","1,826","769","0.58"
"51",="006208","富邦台50","02/02","165.35","3,081","國內成分股ETF","國內成分股ETF","-1.61","1.19","1,438","8,733","0.47"
"52",="2883","凱基金","02/02","18","3,055","金控業","金融保險","-0.28","1.11","561","31,320","0.18"
"53",="1519","華城","02/02","942","2,976","電機機械","電機機械","-2.89","3.09","3,291","3,487","1.1"
"54",="2207","和泰車","02/02","529","2,947","汽車工業","汽車","-2.76","3.31","190","359","0.06"
"55",="2059","川湖","02/02","3065","2,921","電子零組件業","電子零組件","-2.39","3.18","1,973","639","0.67"
"56",="6446","藥華藥","02/02","763","2,899","生技醫療業","生物科技","-0.91","3.51","3,959","5,221","1.37"
"57",="1301","台塑","02/02","44.3","2,820","塑膠工業","塑膠","-6.34","6.77","2,100","46,981","0.74"
"58","00937B","群益ESG投等債20+","02/02","15.18","2,786","債券ETF","債券ETF","+1.13","0.67","1,688","111,536","0.61"
"59",="6770","力積電","02/02","62.6","2,622","半導體業","半導體–IC製造,半導體–晶圓代工","-9.93","6.19","17,886","279,341","6.67"
"60",="3665","貿聯-KY","02/02","1325","2,570","其他電子業","電子零組件–連接器","+1.92","6.54","3,506","2,656","1.37"
"61",="6223","旺矽","02/02","2630","2,566","半導體業","半導體","+4.57","7.36","4,637","1,780","1.82"
"62",="5347","世界","02/02","136.5","2,549","半導體業","半導體–IC製造,半導體–晶圓代工","-4.88","6.27","4,765","35,131","1.88"
"63",="6919","康霈*","02/02","164","2,543","生技醫療業","食品生產–保健食品,醫藥產業–保健食品,醫藥產業","-0.91","6.95","1,812","10,812","0.7"
"64",="3661","世芯-KY","02/02","3140","2,539","半導體業","半導體–IC設計","+0.48","4","5,658","1,825","2.26"
"65",="2395","研華","02/02","291.5","2,519","電腦及週邊設備業","電腦及週邊設備","-2.67","4.17","1,153","3,930","0.45"
"66",="2379","瑞昱","02/02","475","2,449","半導體業","半導體–IC設計","-1.76","3.62","1,496","3,148","0.61"
"67",="8046","南電","02/02","368","2,378","電子零組件業","印刷電路板 (PCB)","-5.28","5.41","1,061","2,882","0.45"
"68",="2801","彰銀","02/02","20.15","2,371","銀行業","金融保險","-1.23","1.47","448","22,189","0.19"
"69",="1590","亞德客-KY","02/02","1170","2,340","電機機械","電機機械","+2.63","5.7","2,468","2,127","1.06"
"70","00679B","元大美債20年","02/02","27.37","2,283","債券ETF","債券ETF","+1.33","0.85","1,534","56,317","0.68"
"71",="1326","台化","02/02","38.95","2,283","塑膠工業","塑膠","-8.03","7.67","1,538","38,695","0.66"
"72",="6488","環球晶","02/02","473","2,261","半導體業","半導體–IC製造","-4.83","6.04","2,627","5,480","1.15"
"73",="3034","聯詠","02/02","368.5","2,242","半導體業","半導體–IC設計","-1.73","3.33","1,357","3,677","0.6"
"74",="2912","統一超","02/02","212","2,204","貿易百貨業","貿易百貨","-0.7","1.41","302","1,423","0.14"
"75",="2615","萬海","02/02","73.5","2,063","航運業","航運–海運,航運–貨櫃海運,航運–貨櫃場","0","1.77","496","6,726","0.24"
"76",="3044","健鼎","02/02","390.5","2,052","電子零組件業","印刷電路板 (PCB)","+4.27","6.01","3,476","8,867","1.69"
"77",="2313","華通","02/02","172","2,050","電子零組件業","印刷電路板 (PCB)","+1.78","6.21","20,757","119,375","10"
"78",="2618","長榮航","02/02","37.5","2,025","航運業","航運–空運","+0.27","1.74","745","19,878","0.37"
"79",="3293","鈊象","02/02","703","1,981","文化創意業","文化創意","-1.82","1.96","1,095","1,553","0.55"
"80",="8069","元太","02/02","171.5","1,976","光電業","面板業","-2","1.43","433","2,517","0.22"
"81",="1101","台泥","02/02","25.9","1,956","水泥工業","水泥–水泥生產,水泥–水泥製品,水泥–原料開採,水泥–預拌混凝土","-1.89","2.08","1,243","47,966","0.64"
"82",="3036","文曄","02/02","152.5","1,929","電子通路業","電子通路","-2.24","4.49","776","5,036","0.4"
"83",="5876","上海商銀","02/02","39.15","1,903","銀行業","金融保險","-0.89","1.65","151","3,855","0.08"
"84",="1504","東元","02/02","79.1","1,880","電機機械","電機機械","-3.3","4.03","1,824","23,026","0.97"
"85",="4938","和碩","02/02","69.9","1,875","電腦及週邊設備業","電腦系統–伺服器,電腦系統–筆記型電腦","+0.29","1.87","376","5,388","0.2"
"86",="6239","力成","02/02","244.5","1,856","半導體業","半導體–IC封裝測試,半導體–IC製造","-3.74","5.31","2,944","12,066","1.59"
"87",="2609","陽明","02/02","52.3","1,826","航運業","航運–海運,航運–貨櫃海運,航運–貨櫃場","-2.06","1.69","553","10,548","0.3"
"88","00687B","國泰20年美債","02/02","28.47","1,811","債券ETF","債券ETF","+1.28","0.89","1,554","54,809","0.86"
"89",="5871","中租-KY","02/02","103","1,763","其他業","其他","-0.96","2.4","618","6,008","0.35"
"90",="4958","臻鼎-KY","02/02","183.5","1,755","電子零組件業","印刷電路板 (PCB)","-6.14","10.7","11,654","62,801","6.56"
"91",="2404","漢唐","02/02","914","1,742","其他電子業","其他電子","+0.66","2.97","1,969","2,172","1.14"
"92",="1605","華新","02/02","39.15","1,735","電器電纜","電器電纜","-10","6.21","7,284","183,357","4.14"
"93",="3481","群創","02/02","21.15","1,690","光電業","面板業","-2.98","6.88","8,943","419,684","5.25"
"94",="3533","嘉澤","02/02","1460","1,643","電子零組件業","電子零組件–連接器","+2.1","6.64","2,954","2,010","1.79"
"95",="2337","旺宏","02/02","84.8","1,574","半導體業","半導體–IC設計","-8.62","6.25","20,761","240,933","13"
"96",="2356","英業達","02/02","43.85","1,573","電腦及週邊設備業","電腦系統–伺服器,電腦系統–筆記型電腦","-2.56","3.33","885","20,002","0.56"
"97","00751B","元大AAA至A公司債","02/02","32.4","1,549","債券ETF","債券ETF","+1.22","0.69","400","12,380","0.26"
"98",="2633","台灣高鐵","02/02","27.1","1,525","航運業","航運–陸上客運,航運–陸運,航運–鐵路運輸","-0.91","0.91","111","4,106","0.07"
"99",="2376","技嘉","02/02","227.5","1,524","電腦及週邊設備業","電子零組件–主機板,電腦系統–伺服器,電腦系統–筆記型電腦","-2.36","1.93","791","3,468","0.52"
"100",="1402","遠東新","02/02","27.75","1,485","紡織纖維","紡織纖維","-0.18","1.98","240","8,718","0.16"
"101",="2834","臺企銀","02/02","15.25","1,482","銀行業","金融保險","-0.97","1.3","341","22,347","0.23"
"102",="6515","穎崴","02/02","4060","1,463","半導體業","半導體","+3.97","6.66","2,453","614","1.7"
"103","00720B","元大投資級公司債","02/02","33.58","1,448","債券ETF","債券ETF","+1.24","0.6","513","15,333","0.36"
"104",="6274","台燿","02/02","495","1,429","電子零組件業","印刷電路板 (PCB)","-1.59","5.37","4,810","9,640","3.34"
"105",="2324","仁寶","02/02","32.3","1,424","電腦及週邊設備業","電腦系統–伺服器,電腦系統–筆記型電腦","-1.37","6.41","2,117","64,287","1.46"
"106","00725B","國泰投資級公司債","02/02","35.65","1,354","債券ETF","債券ETF","+1.25","0.68","380","10,695","0.28"
"107",="2610","華航","02/02","21.95","1,335","航運業","航運–空運,航運–倉儲物流","-1.13","1.8","591","26,931","0.44"
"108",="6442","光聖","02/02","1710","1,335","通信網路業","通信網路–光通訊,通信網路–網路設備,電子零組件–連接器","-4.2","5.04","6,622","3,827","4.9"
"109",="1802","台玻","02/02","44.95","1,307","玻璃陶瓷","玻璃陶瓷","-6.84","4.46","1,107","24,375","0.84"
"110",="6139","亞翔","02/02","555","1,295","其他電子業","其他電子","-3.48","3.3","1,727","3,100","1.33"
"111",="3529","力旺","02/02","1700","1,270","半導體業","半導體–IC設計","-7.1","6.01","2,487","1,453","1.95"
"112",="1102","亞泥","02/02","34.6","1,227","水泥工業","水泥–水泥生產,水泥–水泥製品,水泥–原料開採,水泥–高爐水泥,水泥–預拌混凝土","-1.56","1.85","355","10,224","0.29"
"113",="8464","億豐","02/02","418","1,225","居家生活","其他","-2.11","2.46","737","1,757","0.6"
"114",="00713","元大台灣高息低波","02/02","50.85","1,224","國內成分股ETF","國內成分股ETF","-0.88","0.97","542","10,667","0.44"
"115",="00929","復華台灣科技優息","02/02","19.2","1,213","國內成分股ETF","國內成分股ETF","-1.84","1.64","899","46,796","0.74"
"116","00772B","中信高評級公司債","02/02","34.41","1,204","債券ETF","債券ETF","+1.24","1","198","5,780","0.17"
"117",="2812","台中銀","02/02","19.9","1,198","銀行業","金融保險","-0.5","1","313","15,743","0.26"
"118",="2474","可成","02/02","200","1,184","其他電子業","電子零組件–機殼","-0.25","1","468","2,343","0.4"
"119","00933B","國泰10Y+金融債","02/02","16.48","1,145","債券ETF","債券ETF","+1.1","0.74","279","16,996","0.24"
"120",="8210","勤誠","02/02","900","1,128","電腦及週邊設備業","電子零組件–機殼","-0.55","4.09","1,237","1,368","1.09"
"121",="6510","精測","02/02","3435","1,126","半導體業","半導體–IC製造","+3.93","5.14","2,777","819","2.5"
"122",="1503","士電","02/02","216","1,125","電機機械","電機機械","-5.68","5.9","1,385","6,365","1.22"
"123",="6415","矽力*-KY","02/02","289.5","1,123","半導體業","半導體–IC設計","+3.21","7.49","4,210","14,561","3.75"
"124",="3189","景碩","02/02","239.5","1,094","半導體業","半導體–IC製造,印刷電路板 (PCB)","-4.96","8.13","10,580","43,982","9.63"
"125",="2347","聯強","02/02","65.5","1,093","電子通路業","資訊通路","0","2.14","248","3,793","0.23"
"126",="1476","儒鴻","02/02","396","1,086","紡織纖維","紡織纖維","-0.25","1.64","132","333","0.12"
"127",="3702","大聯大","02/02","64.6","1,085","電子通路業","電子通路","+0.47","2.18","357","5,566","0.33"
"128",="3260","威剛","02/02","331","1,078","半導體業","半導體–IC製造,電子零組件–DRAM模組,電子零組件–Flash模組","-8.94","6.74","5,264","15,630","4.8"
"129","00724B","群益投資級金融債","02/02","34.61","1,055","債券ETF","債券ETF","+1.17","0.88","141","4,082","0.13"
"130",="2451","創見","02/02","240","1,034","半導體業","半導體–IC製造,電子零組件–DRAM模組,電子零組件–Flash模組","-9.94","5.44","3,002","12,326","2.86"
"131",="3706","神達","02/02","77","1,022","電腦及週邊設備業","電腦系統–伺服器","-2.41","3.17","952","12,338","0.93"
"132",="2409","友達","02/02","13.35","1,008","光電業","面板業","-2.91","4","1,381","102,605","1.36"
"133",="2027","大成鋼","02/02","38.5","995","鋼鐵工業","鋼鐵","-2.04","5.09","1,574","40,109","1.55"
"134",="2105","正新","02/02","30.35","984","橡膠工業","橡膠","-0.82","2.12","241","7,962","0.25"
"135","00761B","國泰A級公司債","02/02","35.4","969","債券ETF","債券ETF","+1.2","0.91","8.47","240","0.01"
"136",="6805","富世達","02/02","1405","963","電子零組件業","3C周邊產品","-1.4","6.32","2,329","1,643","2.4"
"137","00773B","中信優先金融債","02/02","36.82","958","債券ETF","債券ETF","+1.13","0.93","52","1,418","0.05"
"138",="1795","美時","02/02","354.5","946","生技醫療業","生技醫療","-1.8","5.26","2,078","5,852","2.19"
"139",="6781","AES-KY","02/02","1105","944","電子零組件業","電子零組件","-2.21","6.19","1,547","1,373","1.61"
"140",="3105","穩懋","02/02","221.5","939","半導體業","半導體–IC製造","-5.54","7.46","4,588","20,686","4.88"
"141",="5269","祥碩","02/02","1250","935","半導體業","半導體–IC設計","-3.1","3.1","1,162","919","1.23"
"142",="3081","聯亞","02/02","999","924","通信網路業","通信網路–網路設備","-0.1","6","887","920","0.99"
"143",="9910","豐泰","02/02","93.1","919","運動休閒","其他","-3.22","3.01","144","1,532","0.16"
"144",="00940","元大台灣價值高息","02/02","9.52","910","國內成分股ETF","國內成分股ETF","-1.35","1.76","427","44,777","0.47"
"145",="6789","采鈺","02/02","283.5","902","半導體業","半導體–IC封裝測試,半導體–IC製造,半導體–晶圓代工,消費性電子產品–數位相機","-0.53","4.04","572","2,025","0.64"
"146",="9904","寶成","02/02","30.6","902","運動休閒","其他","+0.49","1.64","183","6,028","0.2"
"147",="6285","啟碁","02/02","183","886","通信網路業","通信網路–無線網路,通信網路–網路設備","-1.08","10","10,771","56,881","11.8"
"148",="2385","群光","02/02","116","882","電子零組件業","3C周邊產品,電子零組件–電源供應器","-0.85","1.71","296","2,559","0.34"
"149",="3324","雙鴻","02/02","938","873","其他電子業","其他電子","+3.08","8.35","3,849","4,116","4.42"
"150",="0052","富邦科技","02/02","42.52","870","國內成分股ETF","國內成分股ETF","-1.76","1.2","3,253","76,698","3.75"
"151","00746B","富邦A級公司債","02/02","36.19","863","債券ETF","債券ETF","+1.12","0.53","43.1","1,194","0.05"
"152",="00881","國泰台灣科技龍頭","02/02","33.51","851","國內成分股ETF","國內成分股ETF","-1.53","1.18","962","28,785","1.13"
"153",="2353","宏碁","02/02","27.2","829","電腦及週邊設備業","電腦系統–伺服器,電腦系統–筆記型電腦","+8.37","6.57","5,856","214,585","7.04"
"154",="1513","中興電","02/02","163.5","823","電機機械","電機機械","-2.97","3.56","1,371","8,376","1.66"
"155",="9945","潤泰新","02/02","28.7","816","其他業","水泥–水泥生產,水泥–預拌混凝土","-0.35","1.39","203","7,087","0.25"
"156",="1229","聯華","02/02","45.45","816","食品工業","食品原料–小麥、麵粉","-1.09","1.63","77.5","1,707","0.1"
"157",="2371","大同","02/02","37.95","816","電機機械","電機機械","-2.44","2.57","914","24,064","1.12"
"158",="5536","聖暉*","02/02","656","814","其他電子業","其他電子","+4.13","5.4","1,181","1,831","1.48"
"159",="2049","上銀","02/02","230","814","電機機械","電機機械","-8","6.4","1,961","8,419","2.38"
"160",="2542","興富發","02/02","37.25","809","建材營造業","建材營造","+0.13","1.21","115","3,081","0.14"
"161",="2838","聯邦銀","02/02","18.5","803","銀行業","金融保險","-1.07","1.6","26.9","1,456","0.03"
"162",="3491","昇達科","02/02","1165","800","通信網路業","通信網路–網路設備","+6.39","7.76","916","799","1.16"
"163",="2354","鴻準","02/02","56.5","799","其他電子業","電子零組件–機殼","-1.57","1.74","240","4,240","0.3"
"164",="00918","大華優利高填息30","02/02","22.66","796","國內成分股ETF","國內成分股ETF","-1.13","1","811","35,848","1.02"
"165",="4749","新應材","02/02","849","787","半導體業","半導體–IC製造","-1.39","4.18","1,034","1,205","1.3"
"166",="2377","微星","02/02","90.8","767","電腦及週邊設備業","電子零組件–主機板,電腦系統–伺服器,電腦系統–筆記型電腦","+0.67","4.32","843","9,281","1.1"
"167",="1477","聚陽","02/02","309","762","紡織纖維","紡織纖維","+1.15","1.96","199","646","0.26"
"168",="6409","旭隼","02/02","861","755","其他電子業","其他電子","+0.94","5.39","631","728","0.83"
"169",="3264","欣銓","02/02","153.5","752","半導體業","半導體–IC封裝測試,半導體–IC製造","-3.76","4.39","1,920","12,593","2.57"
"170",="7799","禾榮科","02/02","477","746","生技醫療業","興生技","+9.91","12.4","654","1,419","0.91"
"171",="7750","新代","02/02","1005","722","電機機械","興電機","+4.36","5.92","555","560","0.78"
"172",="5483","中美晶","02/02","112.5","721","半導體業","半導體–IC製造","-6.25","5.42","851","7,468","1.16"
"173",="6691","洋基工程","02/02","587","713","其他電子業","其他電子","-1.01","2.53","383","655","0.54"
"174",="6472","保瑞","02/02","573","713","生技醫療業","生物科技,食品生產–保健食品,醫藥產業–保健食品,醫藥產業","-4.98","6.3","1,151","1,961","1.58"
"175",="5289","宜鼎","02/02","743","712","電腦及週邊設備業","3C周邊產品,電子零組件–DRAM模組,電子零組件–Flash模組","-6.42","6.3","3,402","4,523","4.72"
"176",="6526","達發","02/02","424","710","半導體業","半導體–IC設計","-2.42","2.42","126","297","0.18"
"177",="8996","高力","02/02","773","707","電機機械","電機機械","+3.48","12.2","4,221","5,477","5.99"
"178","00740B","富邦全球投等債","02/02","39.49","707","債券ETF","債券ETF","+1.2","0.9","189","4,793","0.27"
"179",="3005","神基","02/02","111","688","電腦及週邊設備業","電腦系統–筆記型電腦","-1.33","2.67","372","3,348","0.54"
"180",="2646","星宇航空","02/02","22.75","684","航運業","航運業","-0.87","1.31","129","5,667","0.19"
"181",="6531","愛普*","02/02","420","682","半導體業","半導體–IC設計","-2.21","3.38","1,213","2,876","1.77"
"182",="00662","富邦NASDAQ","02/02","102.2","678","國外成分股ETF","國外成分股ETF","-1.35","1.3","825","8,049","1.21"
"183",="1717","長興","02/02","57.1","669","化學工業","化工","-7.46","7.94","2,292","39,762","3.39"
"184","00792B","群益A級公司債","02/02","32.47","666","債券ETF","債券ETF","+1.28","0.56","3.44","106","0.01"
"185",="2258","鴻華先進-創","02/02","37.7","656","汽車工業","創新板","-1.69","1.56","25.1","665","0.04"
"186",="1319","東陽","02/02","108","639","汽車工業","汽車","-1.37","2.28","197","1,822","0.31"
"187",="6121","新普","02/02","345","638","電腦及週邊設備業","3C周邊產品","-0.14","2.03","206","594","0.32"
"188",="6005","群益證","02/02","28.95","628","證券業","金融保險","-2.53","2.86","196","6,774","0.31"
"189","00777B","凱基AAA至A公司債","02/02","33.37","621","債券ETF","債券ETF","+1.34","0.36","3.54","106","0.01"
"190",="2492","華新科","02/02","126.5","615","電子零組件業","被動元件","-7.33","5.13","1,227","9,538","1.96"
"191",="8358","金居","02/02","243","614","電子零組件業","印刷電路板 (PCB)","-7.25","6.68","771","3,119","1.23"
"192",="5434","崇越","02/02","320","612","電子通路業","電子通路","-0.93","2.79","196","616","0.32"
"193",="6257","矽格","02/02","125.5","607","半導體業","半導體–IC封裝測試,半導體–IC製造","-3.46","3.85","891","7,089","1.46"
"194",="1560","中砂","02/02","415","607","電機機械","電機機械","+2.09","4.43","864","2,108","1.44"
"195",="4583","台灣精銳","02/02","751","602","電機機械","電機","-2.97","4.78","289","387","0.48"
"196",="2845","遠東銀","02/02","12.3","598","銀行業","金融保險","-1.6","1.6","158","12,814","0.26"
"197",="2889","國票金","02/02","16.4","596","金控業","金融保險","-1.8","2.69","77.1","4,697","0.13"
"198","00795B","中信美國公債20年","02/02","27.59","590","債券ETF","債券ETF","+1.36","0.92","413","15,041","0.7"
"199",="2645","長榮航太","02/02","155","581","航運業","航運–飛機製造、維修","-3.73","4.97","448","2,845","0.76"
"200",="6890","來億-KY","02/02","225.5","562","運動休閒","運動休閒","+0.22","5.33","201","874","0.35"
"201",="6196","帆宣","02/02","277.5","561","其他電子業","其他電子","-2.29","3.35","391","1,409","0.7"
"202",="6176","瑞儀","02/02","119.5","556","光電業","光電","-2.05","2.87","197","1,649","0.35"
"203",="2915","潤泰全","02/02","50.3","555","貿易百貨業","貿易百貨","-0.4","0.79","84.4","1,676","0.15"
"204",="2539","櫻花建","02/02","46.55","555","建材營造業","建材營造","-1.79","2.53","43.7","938","0.08"
"205",="3023","信邦","02/02","230.5","553","電子零組件業","電子零組件–連接器","-1.28","4.28","900","3,898","1.62"
"206","00778B","凱基金融債20+","02/02","35.49","551","債券ETF","債券ETF","+1.26","0.03","3.58","101","0.01"
"207","00722B","群益投資級電信債","02/02","36.75","548","債券ETF","債券ETF","+1.27","1.07","126","3,425","0.23"
"208","00950B","凱基A級公司債","02/02","14.34","548","債券ETF","債券ETF","+1.06","0.85","115","8,067","0.21"
"209","00981A","主動統一台股增長","02/02","17.66","532","主動式國內成分股ETF","主動式國內成分股ETF","-1.62","1.95","2,580","146,502","4.86"
"210",="6944","兆聯實業","02/02","691","527","綠能環保","綠能環保","-1","4.3","498","723","0.95"
"211",="6548","長科*","02/02","55.2","525","半導體業","半導體–IC製造,半導體–導線架,LED","-4.83","6.21","538","9,904","1.04"
"212",="3006","晶豪科","02/02","183","524","半導體業","半導體–IC設計","-6.15","9.49","12,292","66,253","23.2"
"213",="5522","遠雄","02/02","66.8","522","建材營造業","建材營造","+0.91","2.87","53.4","801","0.1"
"214",="6191","精成科","02/02","104.5","522","電子零組件業","印刷電路板 (PCB)","-3.69","3.23","525","4,986","1"
"215",="3363","上詮","02/02","458","520","通信網路業","通信網路–光通訊,通信網路–網路設備","+9.96","13.6","4,952","11,039","9.71"
"216",="2597","潤弘","02/02","166.5","517","建材營造業","水泥–水泥生產,水泥–預拌混凝土","-0.6","1.79","42.5","255","0.08"
"217",="3532","台勝科","02/02","133","516","半導體業","半導體–IC製造","-5.67","6.38","460","3,419","0.88"
"218",="2637","慧洋-KY","02/02","69.1","516","航運業","航運–海運,航運–散裝海運","-2.26","4.81","272","3,874","0.52"
"219",="2606","裕民","02/02","61","515","航運業","航運–石油海運,航運–海運,航運–散裝海運","-1.93","5.63","539","8,673","1.03"
"220",="1815","富喬","02/02","87","509","電子零組件業","印刷電路板 (PCB)","-5.23","5.66","3,122","35,670","6.1"
"221",="2006","東和鋼鐵","02/02","69.4","507","鋼鐵工業","鋼鐵","0","1.3","57.1","821","0.11"
"222","2882A","國泰特","02/02","60.6","505","金控業","金控業","-0.33","0.16","4.36","72","0.01"
"223",="3406","玉晶光","02/02","444.5","501","光電業","消費性電子產品–數位相機","-2.09","2.75","247","557","0.49"
"224",="8454","富邦媒","02/02","188","498","數位雲端","貿易百貨","-0.27","1.86","82.6","442","0.17"
"225",="4763","材料*-KY","02/02","49.95","494","化學工業","化工","+1.42","6.4","433","8,596","0.87"
"226",="2634","漢翔","02/02","52.4","494","航運業","航運–飛機製造、維修","-1.5","4.32","384","7,251","0.77"
